Indiv,leaf_tot,juga,leaf_juga_ratio,stip_dist,stip_scar_length,pet_length,petiole_stip_ratio,lateral_petiolules,basal_petiolule,termil_petiolule,acumen_length,basal_lft_L,basal_lft_W,basal_L_widest_point,bl_bw_ratio,bl_wp_ratio,lateral_lft_L,lateral_lft_W,lateral_L_widest_point,ll_lw_ratio,ll_wp_ratio,termil_lft_L,termil_lft_W,termil_L_widest_point,tl_tw_ratio,tl_wp_ratio,X2o_vein_pairs
SF175,371.77,4.67,79.49,21.38,2.3,59.43,2.91,19.45,8.98,45.31,5.82,63.33,35.55,29.32,1.79,2.17,109.26,36.79,55.04,2.98,2.98,85.59,40.27,45.99,2.18,1.88,10.67
SF328,268.61,4,67.15,39.91,1.39,67.65,1.72,9.01,5.4,27.41,7.57,55,31.69,26.59,1.74,2.09,77.31,33.04,41.29,2.35,2.35,67.84,29.39,40.11,2.32,1.71,10.5
SF200,208.42,3.67,58.15,12.6,1.78,32.21,2.6,8.58,4.63,29.89,1.59,35.31,20.11,23.89,1.7,1.55,64.79,27.35,37.53,2.37,2.37,55.54,30.66,34.89,1.82,1.59,10
SF209,218.85,4,56.69,13,2.04,42.98,3.46,8.62,4.94,17.66,2.99,38.35,25.44,19.32,1.53,2.01,60.41,30.8,35.68,2.05,2.05,61.2,30.43,30.8,2.03,2.01,10.67
D14528,264.57,4,66.14,10.85,2.99,53.21,4.9,12.23,9.12,32.79,7.5,35.06,25.69,17.39,1.37,2.02,90.9,33.91,53.94,2.61,2.61,79.49,35.67,49.57,2.22,1.6,10.33
SF276,283.45,3,94.48,21.84,2.64,74.72,3.55,12.56,8.35,31.82,6.54,52.88,31.23,26.16,1.7,2.14,86.1,37.79,52.69,2.31,2.31,82.05,44.05,51.32,1.87,1.6,8
SF286,288.35,3,96.12,27.57,2.75,72.73,2.65,17.31,11.73,35.23,6.49,46.86,39.88,25.38,1.18,1.84,82.82,52.27,42.52,1.58,1.58,83.78,46.91,44.01,1.78,1.93,8.5
D14504,323.02,6,54.21,12.54,2.82,65.82,6.09,8.6,5.32,18.3,7.64,37.23,30.87,17.71,1.25,2.13,81.98,48.74,44.06,1.7,1.7,70.46,36.71,34.97,1.94,2.05,16.67
D14505,448.82,8,56.25,9.51,3,63.97,6.7,5.77,5.67,23.1,11.66,51,41.01,29.61,1.26,1.71,124.59,54.47,45,2.29,2.29,129.33,64.38,65.85,2.01,2.03,17.5
D14506,534.65,7,77.69,11.67,3.5,91.8,8,15.4,13.51,35.22,14.81,66.51,47.31,29.22,1.41,2.4,194.07,70.34,66.34,2.85,2.85,155.46,61.82,74.68,2.52,2.06,20.33
D13103,381.51,7,54.5,2.94,3.19,66.14,23.24,11.93,,,9.16,,,,,,115.05,44.31,36,2.64,2.64,,,,,,17
D13101,406.06,4,105.4,10.99,1.98,72.27,6.57,19.13,13.92,30.01,7.92,85.53,50.36,29.42,1.71,2.91,123.43,48.27,33.5,2.72,2.72,130.36,53.19,55.13,2.45,2.37,14.5
SF155,368.52,4.5,82.81,10.7,2.94,126.58,11.83,10.82,6.67,,9.96,77.23,28.47,31.9,2.71,2.48,128.99,30.46,33.41,4.23,4.23,,,,,,14.5
D14482,537.76,5.33,100.42,3.25,4.08,97.8,39.74,16.22,11.41,30.88,5.7,73.74,58.45,41.05,1.27,1.81,175.96,73.6,101.48,2.4,2.4,192.19,74.43,105.56,2.59,1.84,20.33
D14483,592.86,7,84.69,6.45,4.55,91.62,14.2,13.77,7.13,25.17,7.41,69.3,59.41,38.27,1.17,1.81,154.13,77.65,54.52,1.98,1.98,131.91,72.2,65.83,1.83,2,21
D14477,496.55,6,82.8,12.59,2.93,77.37,6.15,19.04,13.5,45.36,8.75,54.2,30.7,25.58,1.8,2.11,142.43,47.23,61.81,3,3,125.77,47.74,71.51,2.64,1.76,16.67
D14478,349.13,4,87.28,13.9,3.14,64.54,4.7,18.85,12.94,46.19,12.78,82.05,46,31.74,1.79,2.64,135.98,63.04,65.46,2.16,2.16,131.14,60.87,71.69,2.16,1.87,16.33
D14480,358.88,5.67,63.81,16.73,1.75,61.43,3.77,12.93,8.04,24.76,9.88,79.98,44.87,32.51,1.79,2.46,136.5,45.39,49.4,3.04,3.04,118.31,40.11,60.92,3.04,1.94,18.33
D14485,236.57,4.33,55.71,7.81,2.55,45.51,6.24,8.84,7.71,22.5,7.34,,,,,,92.62,32.89,50.88,2.82,2.82,83.61,34.66,47.28,2.41,1.77,15
D14501,428.22,6,71.37,16.12,2.39,116.52,7.22,11.62,10.25,30.06,7.8,66.2,42.83,24.09,1.56,2.74,106.82,43.06,27.49,2.63,2.63,,,,,,17.33
D14513,351.43,5.33,66.4,50.18,2.82,70.2,2.89,17.37,13.11,30.5,8.54,68.41,41.09,23.27,1.68,2.98,110.52,39.38,31.68,2.81,2.81,84.12,32.17,37.16,2.65,2.31,16
D13090,440.19,7,60.4,11.25,4,84.05,7.35,17.98,13.39,28.99,18.25,,,,,,120.4,37.31,26.31,3.1,3.1,111.13,44.21,31.92,2.48,3.43,16
D13097,574.42,7,82.06,17.01,5.38,102.94,6.05,18.85,11.66,51.98,11.67,63.26,45.88,19.45,1.38,3.25,176.63,64.28,40.56,2.75,2.75,122.74,61.15,37.69,2.01,3.26,15
D12950,302.44,5,60.49,12.98,1.98,75.45,5.81,11.01,6.32,24.39,15.39,67.57,27.62,14.64,2.45,4.62,104.03,42.25,27.39,2.46,2.46,135.37,44.98,72.16,3.01,1.88,
D13063,227.26,4,56.82,10.09,2.55,50.62,5.01,12.33,8.71,24.48,3.16,45.43,29.86,21.69,1.52,2.1,69.11,25.77,42.83,2.71,2.71,61.1,22.75,37.33,2.69,1.64,10.5
D12963,156.11,2.33,69.38,9.36,1.63,43.04,4.64,9.84,7.05,20.22,2.4,37.8,21.62,18.23,1.77,2.09,61.94,23.91,40.59,2.64,2.64,63.13,24.49,41.89,2.62,1.51,8
SF160,237.72,6.5,36.45,3.86,2.28,44.91,11.52,7.34,2.43,18.42,4.71,21.06,10,10.13,2.1,2.08,71.78,21.28,32.37,3.39,3.39,47.53,22.4,24.83,2.14,1.94,11.5
SF327,182.98,3,60.99,7.59,2.22,44.64,6.88,8.42,5.34,17.06,5.71,39.44,25.93,17.75,1.51,2.25,62.97,28,35.79,2.27,2.27,57.61,26.72,30.56,2.2,1.91,10
SF224,253.96,4,63.49,16.7,2.75,57.87,3.51,9.32,7.66,27.51,1.5,64.66,36.83,26.63,1.76,2.43,89.51,33.61,57.76,2.67,2.67,,,,,,12.5
SF228,167.92,4,41.98,9.45,1.27,30.26,3.41,6.13,3.8,18.23,4,25.69,16.74,15.61,1.53,1.66,48.49,21.82,30.26,2.22,2.22,45,23.41,31.9,1.93,1.41,9.33
5573,287.32,4,71.83,12.29,2.47,62.04,5.05,16.42,10.69,32.13,8.83,82.36,46.78,21.86,1.76,3.77,139.32,46.03,34.76,3.03,3.03,121.67,34.73,63.12,3.5,1.93,15
D13052,268.72,3.5,77.34,16.83,2.35,70.9,4.23,10.7,6.61,25.27,7.12,39,31.26,20.81,1.25,1.91,80.11,33.75,56.42,2.38,2.38,71.34,42.14,48.65,1.72,1.47,12.5
SF153,547.07,10.33,52.94,8.39,3.78,75.72,9.13,9.39,8.04,19.43,9.22,68.51,28.71,36.38,2.36,1.86,136.29,31.56,65.78,4.44,4.44,99.33,26.24,63.84,3.9,1.55,12.67
SF164,268.31,8.33,32.31,5.23,2.86,43.32,8.37,5.55,3.53,,3.98,27.84,14.24,12.57,1.98,2.22,74.24,18.27,38.24,4.09,4.09,,,,,,12.33
D13075,312.46,3,104.15,4.92,3.02,67.6,13.55,15.64,,40.4,3.17,,,,,,108.95,53.7,60.5,2.02,2.02,112.52,53.51,60.46,2.06,1.87,13
SF197,242.55,3.33,73.57,10.15,3.21,57.39,5.67,9.03,5.8,28.13,3.91,40.48,34.77,22.46,1.17,1.83,78.17,44.6,49.68,1.76,1.76,73.8,50.54,49.62,1.47,1.49,11.33
