Genus,Herbarium,collection,species,leaf_tot,juga,stip_dist,stip_scar_length,pet_length,lateral_petiolules,basal_petiolule ,termil_petiolule,acumen_length,basal_lft_L,basal_lft_W,basal_L_widest_point,lateral_lft_L ,lateral_lft_W,lateral_L_widest_point,termil_lft_L,termil_lft_W,termil_L_widest_point,2o_vein_pairs
Canarium,NYBG,SF175,betampoe,308.22,4,23.47,1.89,53.84,14.98,8.6,39.05,5.74,66.63,32.82,30.65,117.84,35.07,63.11,92.39,51.43,42.84,11
Canarium,NYBG,SF175,betampoe,358.53,5,15.2,2.46,58.38,22.06,9.24,49.53,5.18,53.91,33.05,30.39,107.37,36.38,67.28,75.01,33.11,40.97,10
Canarium,NYBG,SF175,betampoe,448.56,5,25.46,2.56,66.07,21.32,9.11,47.36,6.54,69.46,40.78,26.93,102.56,38.93,34.74,89.37,36.28,54.15,11
Canarium,NYBG,SF328,betampoe,272.13,4,46.13,1.65,70.79,7.84,4.93,32.5,7.7,60.67,35.24,30.98,70.47,29.74,33.5,74.41,32.83,46.4,10
Canarium,NYBG,SF328,betampoe,265.09,4,33.69,1.12,64.51,10.18,5.86,22.31,7.44,49.33,28.13,22.2,84.15,36.33,49.07,61.27,25.95,33.82,11
Canarium,NYBG,TT110,betampoe,120.74,3,14.08,1.61,27.2,2.52,2.28,12.72,8.2,27.18,20.04,12.13,54.88,22.96,24.75,45.16,20.7,23.25,10
Canarium,NYBG,TT110,betampoe,154.3,4,11.8,1.85,23.77,3.31,3.2,18.9,5.68,38.39,25.75,16.8,57.54,27.74,25.13,62.76,31.74,29.46,10
Canarium,NYBG,TT110,betampoe,136.27,3,14.21,1.5,33.84,4.89,3.78,16.47,7.12,40.9,32.06,15.86,69.92,36.09,23.72,48.69,25.07,21.43,10
Canarium,NYBG,SF53,betampoe,253.36,3,31.47,2.09,63.79,8.12,5.97,35.22,6.15,30.05,20.34,10.49,77.89,34.85,26.74,88.55,38.54,33.4,9
Canarium,NYBG,SF53,betampoe,238.87,4,28.46,2.09,55.74,7.51,5.44,27.62,6.76,29,19.41,10.32,78.7,37.12,25.98,71.91,28.9,26.82,10
Canarium,NYBG,SF53,betampoe,245.01,3,33.93,2.13,52.51,5.72,5.05,33.31,8.3,25.43,22.32,8.65,65.93,31.76,22.55,85.08,38.53,31.42,9
Canarium,NYBG,D13079,betampoe,213.72,3,32.23,1.69,43.79,7.03,3.6,31.02,6.26,24.38,18.46,11.1,64.95,29.03,24.27,68.9,30.98,38,8
Canarium,NYBG,D13079,betampoe,205.04,3,27.73,1.79,50.71,7.16,4.11,32.84,5.95,23.51,20.92,9.39,66.42,33.37,29.39,64.2,34.34,42.05,8
Canarium,NYBG,D13073,betampoe,264.48,4,19.91,3.06,55.18,9.04,6.23,22.99,8.02,49.69,32.59,16.03,102.92,35,34.74,73.23,33.07,29.78,9
Canarium,NYBG,D13073,betampoe,,3,20.48,2.64,48.45,9.32,6.46,,6.92,49.46,29.35,14.64,104.46,40.08,33.72,,,,10
Canarium,NYBG,D12962,boivinii,242.73,5,11.95,1.55,40.62,13.47,7.85,19.78,5.04,39.3,27.54,14.64,64.87,26.08,33.47,68.19,25.89,34.91,12
Canarium,NYBG,D12962,boivinii,201.58,4,10.98,1.1,45.92,10.32,8.95,20.93,6.07,35.97,26.38,15.37,85.52,26.08,28.66,67.15,23.91,30.84,12
Canarium,NYBG,D12962,boivinii,185.28,5,9.98,1.62,40.83,13.85,8.23,23.93,5.82,41.07,23.75,15.97,59.63,30.82,20.73,57.42,22.34,19.81,12
Canarium,NYBG,RR688,boivinii,272.4,6,9.63,1.92,72.75,13.45,,24.76,6.42,,,,81.56,26.51,40.56,93.41,31.73,43.37,14
Canarium,NYBG,RR688,boivinii,267.59,,8.38,1.74,69.04,12.43,,21.15,5.43,,,,82.13,34.51,41.12,67.72,32.5,28.64,14
Canarium,NYBG,RR688,boivinii,266.91,,7.96,1.62,80.99,13.91,,19.73,4.56,,,,100.54,33.16,51.71,,,,13
