,dstat,bootmean,bootstd,Z,ABBA,BABA,nloci,p1,p2,p3,p4
0,-0.575,-0.575,0.014,40.965,386.765,1432.762,43331,['SF172'],"['SF328', 'SF200', 'SF175', 'SF209', 'D13052']","['D13090', 'D12950', 'SF155', '5573', 'SF327', 'SF228', 'SF224', 'SF164', 'SF153', 'SF160', 'D13097', 'SF197', 'D13075', 'D13053', 'D13063', 'D12963']","['D13852', 'SFC1988', 'D14269', 'D13374']"
1,-0.072,-0.072,0.014,5.280,1375.145,1587.853,59670,"['D13090', 'D12950', 'SF155', '5573', 'SF327', 'SF228', 'SF224', 'SF164', 'SF153', 'SF160', 'D13097', 'SF197', 'D13075', 'D13053', 'D13063', 'D12963']","['D14482', 'D14483', 'D13103', 'D13101', 'D14504', 'D14505', 'D14506', 'D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
2,-0.041,-0.041,0.026,1.588,521.038,565.147,32453,"['D13090', 'D12950']","['D14482', 'D14483', 'D13103', 'D13101', 'D14504', 'D14505', 'D14506', 'D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
3,-0.088,-0.088,0.015,5.710,1265.351,1511.058,57566,"['SF155', '5573', 'SF327', 'SF228', 'SF224']","['D14482', 'D14483', 'D13103', 'D13101', 'D14504', 'D14505', 'D14506', 'D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
4,-0.066,-0.066,0.016,4.214,1264.598,1444.093,57496,"['SF164', 'SF153', 'SF160', 'D13097', 'SF197', 'D13075', 'D13053', 'D13063']","['D14482', 'D14483', 'D13103', 'D13101', 'D14504', 'D14505', 'D14506', 'D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
5,-0.077,-0.077,0.014,5.327,1358.093,1584.447,59287,"['SF155', '5573', 'SF327', 'SF228', 'SF224', 'SF164', 'SF153', 'SF160', 'D13097', 'SF197', 'D13075', 'D13053', 'D13063']","['D14482', 'D14483', 'D13103', 'D13101', 'D14504', 'D14505', 'D14506', 'D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
6,-0.018,-0.020,0.028,0.656,380.611,394.906,50799,['D13097'],"['SF160', 'SF197', 'SF164', 'D13063', 'D13053', 'D13075', 'SF153']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
7,0.010,0.011,0.023,0.431,608.591,596.399,51984,['D13097'],"['SF228', '5573', 'SF327', 'SF155', 'SF224']","['SF200', 'SF175', 'SF209', 'D14528', 'SF328', 'D13052', 'SF286', 'SF276']","['D13852', 'SFC1988', 'D14269', 'D13374']"
8,-0.223,-0.225,0.066,3.380,62.846,98.900,7190,['D12963'],"['SF228', 'SF155', 'SF153', 'SF164', 'SF224', '5573', 'SF160', 'D13053', 'D13097', 'D13063', 'SF327', 'D13075', 'SF197']","['D13090', 'D12950']","['D13852', 'SFC1988', 'D14269', 'D13374']"
9,-0.085,-0.085,0.017,5.042,985.638,1168.777,50034,"['D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['D14504', 'D14505', 'D14506']","['D14482', 'D14483', 'D13103', 'D13101']","['D13852', 'SFC1988', 'D14269', 'D13374']"
10,0.105,0.104,0.026,3.996,369.301,299.112,26788,['D14513'],"['D14477', 'D14501', 'D14480', 'D14485', 'D14478']","['D14482', 'D14483', 'D13103', 'D13101']","['D13852', 'SFC1988', 'D14269', 'D13374']"
11,0.113,0.113,0.020,5.725,620.334,494.679,36498,"['D14513', 'D14501']","['D14477', 'D14480', 'D14485', 'D14478']","['D14482', 'D14483', 'D13103', 'D13101']","['D13852', 'SFC1988', 'D14269', 'D13374']"
12,0.043,0.046,0.052,0.832,134.177,122.993,19236,"['D13101', 'D13103']","['D14483', 'D14482']","['D14504', 'D14505', 'D14506']","['D13852', 'SFC1988', 'D14269', 'D13374']"
13,-0.028,-0.024,0.041,0.667,141.597,149.623,20053,"['D13101', 'D13103']","['D14483', 'D14482']","['D14501', 'D14513', 'D14480', 'D14485', 'D14477', 'D14478']","['D13852', 'SFC1988', 'D14269', 'D13374']"
14,-0.229,-0.229,0.019,12.072,450.432,717.972,33016,['D14501'],"['D14485', 'D14480', 'D14477', 'D14478']","['D14504', 'D14505', 'D14506']","['D13852', 'SFC1988', 'D14269', 'D13374']"
15,-0.137,-0.138,0.028,4.981,263.416,347.221,27762,['D14513'],"['D14485', 'D14480', 'D14477', 'D14478']","['SF155', '5573', 'SF327', 'SF228', 'SF224', 'SF164', 'SF153', 'SF160', 'D13097', 'SF197', 'D13075', 'D13053', 'D13063']","['D13852', 'SFC1988', 'D14269', 'D13374']"
16,0.232,0.232,0.032,7.363,299.969,186.836,25419,"['D14485', 'D14480', 'D14477', 'D14478']",['D14513'],['D13097'],"['SFC1988', 'D13852', 'D13374', 'D14269']"
17,0.301,0.300,0.043,6.917,149.602,80.417,14608,"['D14485', 'D14480', 'D14477', 'D14478']",['D14513'],['D13063'],"['SFC1988', 'D13852', 'D13374', 'D14269']"
18,0.282,0.282,0.043,6.624,183.884,102.927,16994,"['D14485', 'D14480', 'D14477', 'D14478']",['D14513'],"['D13053', 'D13063']","['SFC1988', 'D13852', 'D13374', 'D14269']"
19,0.185,0.185,0.028,6.587,343.766,236.318,27204,"['D14485', 'D14480', 'D14477', 'D14478']",['D14513'],"['SF164', 'SF153', 'SF160', 'D13097', 'SF197', 'D13075', 'D13053', 'D13063']","['SFC1988', 'D13852', 'D13374', 'D14269']"
20,0.195,0.195,0.032,6.176,303.854,204.628,25506,"['D14485', 'D14480', 'D14477', 'D14478']",['D14513'],['SF197'],"['SFC1988', 'D13852', 'D13374', 'D14269']"
