Indiv
Species	leaf_tot	juga	leaf_juga_ratio	stip_dist	stip_scar_length	pet_length	petiole_stip_ratio	lateral_petiolules	basal_petiolule	termil_petiolule	acumen_length	basal_lft_L	basal_lft_W	basal_L_widest_point	bl_bw_ratio	bl_wp_ratio	lateral_lft_L	lateral_lft_W	lateral_L_widest_point	ll_lw_ratio	ll_wp_ratio	termil_lft_L	termil_lft_W	termil_L_widest_point	tl_tw_ratio	tl_wp_ratio	X2o_vein_pairs
D13052	A	-0.581665478557	-0.858897551953	0.432300550742	0.344709938553	-0.472757654741	0.161998550956	-0.47057294247	-0.395439242083	-0.526003531595	-0.423249242401	-0.104107993234	-0.875453585376	-0.263179353002	-0.48713084451	-1.08704729831	-0.63222472261	-0.718316996141	-0.525730818443	0.684355006418	-0.42358105899	-0.42358105899	-0.710131841657	-0.0143645712287	-0.133184067661	-1.15783793945	-1.0173415532	-0.333067813995
D14528	A	-0.616238972395	-0.581933095931	-0.193610042691	-0.288203968242	0.269227111283	-0.649382944844	-0.373587388575	-0.0372025076433	0.2397614187	0.417759100895	-0.00622501402842	-1.09050061334	-0.728178241574	-0.951881952724	-0.764710493249	-0.460376767121	-0.419141479349	-0.514989439632	0.520180417604	-0.0645993631418	-0.0645993631418	-0.479782096132	-0.451557598745	-0.0812151306011	-0.20677868871	-0.725326848112	-0.930811208913
SF175	A	0.27684019373	-0.210800724861	0.552453030731	0.826274867636	-0.530725214587	-0.364092221052	-0.6616489591	1.65330025226	0.197049429441	1.81794852351	-0.438970816832	0.452489102547	0.0949616222173	0.669311240548	0.363468324453	-0.226038645999	0.0899282600676	-0.321644621045	0.592999791675	0.51289293018	0.51289293018	-0.307373084144	-0.140724843478	-0.283442081333	-0.282863428769	-0.0963720987002	-0.837155561783
SF200	A	-1.0840225095	-0.764729636906	-0.640130189255	-0.102986687825	-1.13358783698	-1.61258313771	-0.706522872097	-0.891819553855	-1.13007309398	0.0934340748898	-1.52856292746	-1.07685549735	-1.19401195759	-0.068583062844	0.12171572066	-1.1946362133	-1.14309632119	-0.955385970859	-0.566152244669	-0.43918895881	-0.43918895881	-1.15669944648	-0.790095012633	-0.910458604551	-0.967626089304	-0.747789517734	-1.02171227819
SF209	A	-0.997130571977	-0.581933095931	-0.721722105899	-0.0606513094443	-0.832156525784	-1.1185990388	-0.582033952171	-0.882453887595	-1.03549654633	-1.27432284512	-1.16794142513	-0.910930886944	-0.749048927776	-0.689610128498	-0.334928086505	-0.475999308529	-1.26454106294	-0.72377499026	-0.68862119197	-0.938641753034	-0.938641753034	-0.996726494371	-0.805636650397	-1.14149442257	-0.568181203992	0.195642606384	-0.837155561783
SF276	A	-0.458950402839	-1.13586200798	1.39016729819	0.874960552774	-0.136545807636	0.337209252706	-0.569006041946	0.0400642390005	0.00484547777313	0.309277971507	-0.253508329916	-0.117876745739	-0.265683835346	0.239892087929	0.12171572066	-0.272906270223	-0.552231607301	-0.25451100348	0.437431128887	-0.532836357727	-0.532836357727	-0.407426838642	0.114698594545	0.0176388257621	-0.872520164229	-0.725326848112	-1.57262784954
SF286	A	-0.418128687223	-1.13586200798	1.48181849223	1.48141484808	-0.00901717597599	0.245934567763	-0.699285144194	1.15223710736	1.03603493275	0.690639467602	-0.266387669285	-0.446451138723	0.456441907229	0.133896221144	-1.27507710126	-0.741582512467	-0.643176528068	0.717583778862	-0.235817084112	-1.67221304455	-1.67221304455	-0.358530512291	0.307955481515	-0.395288271961	-1.04371082936	0.0159412494091	-1.4348989567
SF328	A	-0.582581884418	-0.581933095931	-0.137166319533	2.78746127113	-1.58573480378	0.0129318544413	-0.833906883183	-0.791138641561	-0.895157153052	-0.183919740452	0.0118060610884	-0.00216616216305	-0.227281772735	0.298325706798	0.229161322346	-0.351018977264	-0.795952904113	-0.573395686914	-0.317242384209	-0.470404758449	-0.470404758449	-0.809055045256	-0.875911882022	-0.615591374713	-0.0165668385613	-0.478237482272	-0.883983385348
D13101	B	0.562508893417	-0.581933095931	2.00043012679	-0.273386585809	-0.901717597599	0.224835896872	-0.131847276627	1.57837492218	1.70417247903	0.106854420793	0.101961436672	1.66417540226	1.3313410728	0.682900454238	0.148577121081	0.930029418203	0.482821408626	0.449049308602	-0.832935951492	0.107087534873	0.107087534873	0.957996008759	0.732309764792	0.232858010759	0.230708566632	1.00429871277	0.217847757358
D13103	B	0.35798376722	1.0798536402	-0.844109980865	-1.12538607572	0.501097350666	-0.0563268260934	2.28121120612	-0.107445004592	NA	NA	0.421369053027	NA	NA	NA	NA	NA	0.25046822691	0.183200183044	-0.667437374058	-0.0177756636833	-0.0177756636833	NA	NA	NA	NA	NA	0.906492221549
